Category,# of products,Rank by # of products,% of the total # of products,Min_e,25%_e,50%_e,75%_e,Max_e,Sum_e_MSEK,Rank by earnings,% of total earnings,Min_s,25%_s,50%_s,75%_s,Max_s,Sum_s_MSEK,Rank by savings,% of total savings,Skew_Earnings,Kurtosis_Earnings,Skew_Savings,Kurtosis_Savings
Cars,22679,3,9.46,4058.0,19500.0,45500.0,99000.0,328000.0,1594.11,1,47.94,16753.74,80507.14,187850.0,408728.57,1354171.43,6581.38,1,75.49,1.47,1.72,1.47,1.72
Boats,3796,16,1.58,3700.0,22500.0,65000.0,150000.0,949000.0,472.35,2,14.21,2864.52,17419.35,50322.58,116129.03,734709.68,365.69,2,4.19,2.5,6.86,2.5,6.86
Caravans & campers,2569,23,1.07,550.0,10000.0,69000.0,200000.0,719000.0,344.15,3,10.35,550.41,10007.41,69051.15,200148.26,719532.99,344.41,4,3.95,1.49,1.61,1.49,1.61
Motorcycles,4534,13,1.89,5200.0,20600.0,35000.0,59000.0,149000.0,197.87,4,5.95,2558.16,10134.25,17218.39,29025.29,73301.15,97.34,8,1.12,1.19,0.98,1.19,0.98
Snowmobiles,1614,29,0.67,5500.0,27000.0,52000.0,78000.0,124000.0,87.97,5,2.65,7990.0,39223.64,75541.82,113312.73,180138.18,127.8,7,1.47,0.32,-0.89,0.32,-0.89
Trucks & construction,1518,30,0.63,750.0,5000.0,19700.0,65000.0,490000.0,83.36,6,2.51,3271.36,21809.09,85927.82,283518.18,2137290.91,363.6,3,4.17,2.53,7.03,2.53,7.03
Furniture & home decor,53031,1,22.13,109.0,400.0,800.0,1900.0,8499.0,76.32,7,2.3,315.65,1158.33,2316.67,5502.08,24611.69,221.02,6,2.54,1.97,3.8,1.97,3.8
Car parts & car accessories,24627,2,10.28,210.0,1000.0,2300.0,4000.0,14999.0,76.08,8,2.29,656.28,3125.16,7187.87,12500.65,46874.29,237.76,5,2.73,1.58,2.61,1.58,2.61
Mopeds & doodlebug tractors,2769,21,1.16,550.0,7000.0,12500.0,22000.0,89000.0,48.04,9,1.44,321.44,4091.07,7305.48,12857.64,52014.99,28.08,13,0.32,2.13,4.91,2.13,4.91
Forestry & agricultural machinery,1954,26,0.82,539.0,3500.0,10000.0,27000.0,162000.0,41.09,10,1.24,483.0,3136.33,8960.95,24194.57,145167.43,36.82,10,0.42,2.29,5.89,2.29,5.89
Construction & garden,15081,5,6.29,55.0,500.0,1100.0,3000.0,19995.0,37.44,11,1.13,42.67,387.88,853.33,2327.27,15511.27,29.04,12,0.33,2.44,6.61,2.44,6.61
Accessories & watches,4202,15,1.75,130.0,600.0,1500.0,5000.0,98000.0,26.49,12,0.8,73.25,338.1,845.24,2817.46,55222.22,14.93,18,0.17,3.95,17.78,3.95,17.78
Music equipment,4308,14,1.8,275.0,1500.0,3500.0,7396.25,28000.0,23.12,13,0.7,131.02,714.67,1667.57,3523.93,13340.56,11.02,21,0.13,1.73,2.8,1.73,2.8
Bicycles,5362,12,2.24,215.0,800.0,1800.0,5000.0,29995.0,22.36,14,0.67,142.82,531.43,1195.71,3321.43,19925.25,14.85,19,0.17,2.27,5.0,2.27,5.0
Audio & video,7251,9,3.03,159.0,800.0,1900.0,4000.0,19950.0,22.3,15,0.67,246.07,1238.08,2940.43,6190.38,30874.54,34.52,11,0.4,2.08,4.71,2.08,4.71
Fixtures & machines,2775,20,1.16,100.0,1000.0,3000.0,9000.0,70000.0,20.8,16,0.63,125.33,1253.33,3760.0,11280.0,87733.33,26.07,16,0.3,2.86,9.45,2.86,9.45
Clothes & shoes,15788,4,6.59,105.0,400.0,700.0,1500.0,6495.0,19.28,17,0.58,31.06,118.31,207.05,443.68,1921.13,5.7,25,0.07,1.86,3.11,1.86,3.11
Computers & video games,5971,11,2.49,120.0,700.0,1900.0,4200.0,15000.0,18.42,18,0.55,131.23,765.48,2077.74,4592.9,16403.23,20.14,17,0.23,1.6,2.19,1.6,2.19
Boat parts & accessories,2382,25,0.99,150.0,1500.0,4000.0,8500.0,49900.0,16.87,19,0.51,246.32,2463.21,6568.57,13958.21,81942.93,27.7,14,0.32,2.27,5.32,2.27,5.32
Children's articles & toys,15060,6,6.28,55.0,300.0,500.0,1200.0,6400.0,15.73,20,0.47,19.59,106.86,178.1,427.43,2279.62,5.6,26,0.06,2.13,4.28,2.13,4.28
Horses & equestrian,2392,24,1.0,13.0,350.0,1000.0,5000.0,69000.0,15.24,21,0.46,6.5,175.0,500.0,2500.0,34500.0,7.62,23,0.09,2.71,7.35,2.71,7.35
Sports & leisure equipment,8431,7,3.52,90.0,400.0,800.0,1800.0,9999.0,12.05,22,0.36,203.06,902.5,1805.0,4061.25,22560.24,27.2,15,0.31,2.2,5.23,2.2,5.23
Phones & accessories,3011,19,1.26,160.0,1200.0,2800.0,5500.0,9999.0,10.39,23,0.31,153.74,1153.04,2690.43,5284.78,9607.73,9.99,22,0.11,0.67,-0.69,0.67,-0.69
