Category,Total value based on resale price [M SEK],Total value based on retail price [M SEK] (projected),Value retained (%),Flag: retained extreme
Cars,1594.10596,8175.486280571428,19.498607242339837,
Boats,472.353481,838.0464985483871,56.36363636363636,
Caravans & campers,344.154264,688.5636460607857,49.98147462022972,
Motorcycles,197.868081,295.21007946896555,67.0261941448382,
Snowmobiles,87.973172,215.77419823272726,40.770941438102305,
Trucks & construction,83.359846,446.9603379163636,18.650389962699222,
Furniture & home decor,76.322586,297.34007462499994,25.668449197860966,
Car parts & car accessories,76.078504,313.83609972645155,24.241476384110104,
Mopeds & doodlebug tractors,48.038481,76.11399669682997,63.11385958530374,
Forestry & agricultural machinery,41.090577,77.91164738028571,52.7399668491637,
Construction & garden,37.435169,66.47578495151515,56.31399317406144,
Accessories & watches,26.487679,41.4132758968254,63.95939086294417,
Music equipment,23.1234,34.14051151401869,67.73009241676162,
Bicycles,22.355792,37.206425257142854,60.08583690987125,
Audio & video,22.302746,56.81838646982898,39.25269157694743,
Fixtures & machines,20.79974,46.86874746666666,44.37869822485207,
Clothes & shoes,19.27715,24.979062277147484,77.17323327079426,
Computers & video games,18.417359,38.557632229032265,47.765793528505384,
Boat parts & accessories,16.869194,44.57082043285714,37.84806704514734,
Children's articles & toys,15.730257,21.333224731428572,73.73595505617978,
Horses & equestrian,15.24118,22.861770000000003,66.66666666666666,
Sports & leisure equipment,12.053894,39.250492337500006,30.71017274472168,
Phones & accessories,10.394769,20.382786169565215,50.99778270509978,
Housewares & appliances,8.943687,52.98008543741007,16.88122419237309,
Tools,8.062567,12.093850500000002,66.66666666666666,
Hobby & collectibles,7.915482,12.10292718352941,65.40138497050528,
Hunting & fishing,7.803377,13.870936138444444,56.257032129016125,
Motorcycle parts & accessories,3.308827,16.831530259428575,19.658503707032125,
Other,2.882155,4.323232500000001,66.66666666666664,
Children's clothing & shoes,2.134514,3.9104296479999996,54.58515283842795,
Snowmobile parts & accessories,1.129829,3.3876039516666676,33.35186214563646,
Books & student literature,0.898235,3.0296400847457625,29.64824120603015,
