# of products,Rank by # of products,% of the total # of products,Total value [SEK],Rank by total value,% of total value,Average product price [SEK],Rank by average product price
68096,1,28.42,656658061.0,1,19.75,9643.122371358082,50
22076,2,9.21,307915650.0,2,9.26,13947.981971371626,40
9994,3,4.17,101912522.0,11,3.07,10197.370622373424,48
9455,4,3.95,141232860.0,4,4.25,14937.372818614489,31
9297,5,3.88,158136548.0,3,4.76,17009.41680111864,24
7970,6,3.33,121900893.0,5,3.67,15294.967754077792,28
7888,7,3.29,99991187.0,12,3.01,12676.367520283975,43
7600,8,3.17,113160112.0,8,3.4,14889.488421052632,32
6851,9,2.86,97699840.0,15,2.94,14260.668515545176,39
6358,10,2.65,120538463.0,6,3.63,18958.550330292546,19
6255,11,2.61,107830563.0,10,3.24,17239.098800959233,23
5999,12,2.5,116333782.0,7,3.5,19392.195699283213,16
5838,13,2.44,95299016.0,16,2.87,16323.915039397054,26
5612,14,2.34,97724058.0,14,2.94,17413.41019244476,22
5599,15,2.34,81053633.0,18,2.44,14476.448115734953,36
5581,16,2.33,75048044.0,19,2.26,13447.060383443828,41
5162,17,2.15,109218565.0,9,3.28,21158.187717938785,12
5146,18,2.15,97958053.0,13,2.95,19035.766226195105,18
4876,19,2.03,85067170.0,17,2.56,17446.09721082855,21
4260,20,1.78,36479847.0,24,1.1,8563.344366197183,51
3978,21,1.66,60726031.0,22,1.83,15265.467823026647,29
3244,22,1.35,65687789.0,20,1.98,20249.010172626386,15
3215,23,1.34,61843260.0,21,1.86,19235.85069984448,17
2606,24,1.09,37607088.0,23,1.13,14430.96239447429,37
2213,25,0.92,35979445.0,25,1.08,16258.22187076367,27
1786,26,0.75,19471805.0,27,0.59,10902.46640537514,47
1314,27,0.55,18866911.0,28,0.57,14358.379756468797,38
1266,28,0.53,14722369.0,32,0.44,11629.043443917852,46
1216,29,0.51,17888501.0,29,0.54,14710.938322368422,34
1062,30,0.44,12842983.0,33,0.39,12093.204331450093,45
946,31,0.39,15677577.0,30,0.47,16572.49154334038,25
896,32,0.37,20013209.0,26,0.6,22336.170758928572,11
746,33,0.31,9202264.0,38,0.28,12335.4745308311,44
739,34,0.31,10785210.0,36,0.32,14594.330175913396,35
616,35,0.26,12788187.0,34,0.38,20760.04383116883,14
508,36,0.21,9033542.0,39,0.27,17782.562992125986,20
472,37,0.2,4765173.0,43,0.14,10095.705508474577,49
451,38,0.19,5721480.0,41,0.17,12686.20842572062,42
409,39,0.17,9449853.0,37,0.28,23104.775061124696,10
380,40,0.16,5742043.0,40,0.17,15110.63947368421,30
346,41,0.14,15435091.0,31,0.46,44610.08959537572,1
314,42,0.13,11130081.0,35,0.33,35446.11783439491,7
255,43,0.11,3770479.0,45,0.11,14786.192156862746,33
168,44,0.07,3535768.0,46,0.11,21046.238095238095,13
122,45,0.05,5061590.0,42,0.15,41488.44262295082,2
118,46,0.05,4241219.0,44,0.13,35942.53389830508,5
84,47,0.04,2337819.0,49,0.07,27831.178571428572,9
82,48,0.03,2908440.0,47,0.09,35468.78048780488,6
78,49,0.03,2570210.0,48,0.08,32951.41025641026,8
56,50,0.02,2197900.0,50,0.07,39248.21428571428,4
44,51,0.02,1749770.0,51,0.05,39767.5,3
