Item,Resale price [SEK],Retail price [SEK],Value retained (%),Flag: retained extreme,Source (price new product),Category,Region
Raymond Weil klocka,6300.0,9850.0,63.95939086294417,,klockorochsmycken.se,Accessories & watches, Luleå
Nikon d5200 paket,3099.0,7895.0,39.252691576947434,,ernstsonfoto.se,Audio & video, Stockholm
MTB Cresent Draupner m trainer,4200.0,6990.0,60.08583690987125,,cykelaffaren.se,Bicycles, Älvsborg
Segelbåtsvagn,7000.0,18495.0,37.84806704514734,,gardsman.se,Boat parts & accessories, Värmland
H-35 segelbåt,124000.0,220000.0,56.36363636363636,,sailguide.com,Boats, Malmö
Verkstadshandböcker till Dodge 1958 - 1959,295.0,995.0,29.64824120603015,,hortlund.se,Books & student literature, Dalarna
S Däck,3100.0,12788.0,24.241476384110104,,gummihuset.se,Car parts & car accessories, Kronoberg
Hobby KMFE 560 2008 De Luxe Barnkammarvagn,134900.0,269900.0,49.98147462022972,,holmgrensbil.se,Caravans & campers, Hässleholm
"Audi A6 2,0 TDI -11",70000.0,359000.0,19.498607242339833,,audistockholm.se,Cars, Värmland
Ergobaby 360 omni,1050.0,1424.0,73.73595505617978,,lekmer.se,Children's articles & toys, Hörby
Tommy Hilfiger kavaj,250.0,458.0,54.58515283842795,,zalando.se,Children's clothing & shoes, Halland
Signerad matchtröja,1234.0,1599.0,77.17323327079426,,nike.se,Clothes & shoes, Stockholm
Acer Chromebook CB5-312T,3100.0,6490.0,47.76579352850539,,netonnet.se,Computers & video games, Värmland
Fönster nya 4 st. 100 cm x 1625 cm,2475.0,4395.0,56.31399317406144,,hemfint.se,Construction & garden, Malmö
Kemppi minarc 220,7500.0,16900.0,44.37869822485207,,svetsochtillbehor.se,Fixtures & machines, Göteborg
Ferguson 65 med lastare och snökedjor,21000.0,39818.0,52.7399668491637,,mascus.se,Forestry & agricultural machinery, Gävleborg
Soffbord glas och mässing,1440.0,5610.0,25.668449197860966,,royaldesign.se,Furniture & home decor, Stockholm
Märklin,2550.0,3899.0,65.40138497050526,,cdon.se,Hobby & collectibles, Kristianstad
Uthyres du som har stort häst intresse,6300.0,9450.0,66.66666666666666,,estimated,Horses & equestrian, Västmanland
Kondens Torktumlare Av AEG LAVATHERM,1390.0,8234.0,16.881224192373086,,computersalg.se,Housewares & appliances, Stockholm
Älgstudsare,4500.0,7999.0,56.257032129016125,,torsbohandels.se,Hunting & fishing, Halland
Yamaha Aerox Naked R 2014,17350.0,27490.0,63.11385958530374,,ahlqvistmc.se,Mopeds & doodlebug tractors, Jämtland
Helt nya Rukka Gore-Tex Byxor,1750.0,8902.0,19.658503707032125,,tradeinn.se,Motorcycle parts & accessories, Göteborg
SMC Wildcat 500 -15,43500.0,64900.0,67.02619414483821,,pvlv.se,Motorcycles, Västernorrland
Marshall DSL40C Vintage,5350.0,7899.0,67.73009241676161,,soundstorexl.se,Music equipment, Stockholm
"Villa uthyres på Kärna, 3750 sek/mån",3750.0,5625.0,66.66666666666666,,estimated,Other, Göteborg
Apple Watch 3 42mm Cellular Milanese,3450.0,6765.0,50.99778270509978,,computersalg.se,Phones & accessories, Göteborg
SLP pipa och slutburk,3000.0,8995.0,33.35186214563646,,skoterdelen.se,Snowmobile parts & accessories, Boden
Lynx Adventure LX 600 ACE-11,55000.0,134900.0,40.7709414381023,,brplynx.com,Snowmobiles, Jämtland
"Edea Overture strl 210, vanligt storlek 31,5",1440.0,4689.0,30.710172744721685,,xxl.se,Sports & leisure equipment, Stockholm
Kit för Ac rep och fyllning,2900.0,4350.0,66.66666666666666,,estimated,Tools, Helsingborg
El truck -01,55000.0,294900.0,18.650389962699222,,maskinexperten.se,Trucks & construction, Malmö
